X,Y,OBJECTID,NAME_OF_DISTRICT_COUNCIL_DISTRI,LOCATION_EN,ADDRESS_EN,NAME_OF_DISTRICT_COUNCIL_DIST_1,LOCATION_TC,ADDRESS_TC,NAME_OF_DISTRICT_COUNCIL_DIST_2,LOCATION_SC,ADDRESS_SC,STANDARD_BS1363_no,MEDIUM_IEC62196_no,MEDIUM_SAEJ1772_no,MEDIUM_OTHERS_no,QUICK_CHAdeMO_no,QUICK_CCS_DC_COMBO_no,QUICK_IEC62196_no,QUICK_GB_T20234_3_DC__no,QUICK_OTHERS_no,REMARK_FOR__OTHERS_,DATA_PATH
12714195.786165,2550441.97744865,192,Kwun Tong,Telford Plaza Phase I Car Park,"33 WAI YIP STREET, Kwun Tong District, Kowloon",觀塘區,德福廣場一期停車場,九龍 觀塘區 偉業街33號,观塘区,德福广场一期停车场,九龙 观塘区 伟业街33号,0,0,0,0,0,0,2,0,0,-,-
12714151.3696881,2550126.81361332,193,Kwun Tong,Telford Plaza Phase II Car Park,"33 WAI YIP STREET, Kwun Tong District, Kowloon",觀塘區,德福廣場二期停車場,九龍 觀塘區 偉業街33號,观塘区,德福广场二期停车场,九龙 观塘区 伟业街33号,0,0,0,0,0,0,3,0,0,-,-
12714063.7612489,2549540.06386273,194,Kwun Tong,Pacific Trade Centre,KAI HING ROAD,觀塘區,太平洋貿易中心,啟興道,观塘区,太平洋贸易中心,启兴道,2,0,0,0,0,0,0,0,0,-,-
12714166.2864999,2551140.79824022,195,Kwun Tong,Choi Tak Estate Carpark,CHOI WING ROAD,觀塘區,彩德邨停車場,彩榮路,观塘区,彩德邨停车场,彩荣路,0,5,0,0,0,0,5,0,0,-,-
12716816.4696172,2547399.85245544,196,Kwun Tong,Yau Lai Shopping Centre Carpark,YAU TONG ROAD,觀塘區,油麗商場停車場,油塘道,观塘区,油丽商场停车场,油塘道,0,0,0,0,1,1,7,0,0,-,-
12713639.3000305,2550300.82086437,197,Kwun Tong,PROFICIENT INDUSTRIAL CENTRE,"WANG KWUN ROAD, KWUN TONG",觀塘區,鴻力工業中心,觀塘 宏冠道,观塘区,鸿力工业中心,观塘 宏冠道,1,0,0,0,0,0,0,0,0,-,-
12715151.0187155,2549129.25496914,198,Kwun Tong,Everest Industrial Centre,"85 How Ming St, Kwun Tong",觀塘區,毅力工業中心,觀塘巧明街85號,观塘区,毅力工业中心,观塘巧明街85号,1,0,0,0,0,0,0,0,0,-,-
12714038.4917245,2549455.35025163,199,Kwun Tong,Harbourside HQ,"2, Kai Hing Road",觀塘區,啟匯,啓興道2號,观塘区,启汇,启兴道2号,2,7,0,0,0,0,0,0,0,-,-
12716983.0035754,2547107.2445156,200,Kwun Tong,Domain Carpark,Ko Chiu Road,觀塘區,大本型停車場,高超道,观塘区,大本型停车场,高超道,0,33,0,0,0,0,0,0,0,-,-
12714343.6184487,2550140.41162539,201,Kwun Tong,Lower ngau tau kok estate Car Park,"120 Ngau Tau Kok Road , Ngau Tau Kok,Kowloon",觀塘區,牛頭角下邨車場,九龍觀塘區牛頭角牛頭角道120號,观塘区,牛头角下邨车场,九龙观塘区牛头角牛头角道120号,14,12,0,0,0,0,0,0,0,-,-
12714953.9832168,2549449.57433916,202,Kwun Tong,Kwun Tong Garedn Estate (Lotus Tower),"NGAU TAU KOK ROAD, KWUN TONG",觀塘區,觀塘花園大廈 (玉蓮臺),觀塘 牛頭角道,观塘区,观塘花园大厦 (玉莲台),观塘 牛头角道,1,0,0,0,0,0,0,0,0,-,-
12714825.7431634,2549267.99510346,203,Kwun Tong,L'hotel Elan,"40 Chong Yip St, Kwun Tong",觀塘區,如心艾朗酒店,觀塘創業街40號,观塘区,如心艾朗酒店,观塘创业街40号,0,0,0,2,0,0,0,0,0,Tesla Wall Connector,-
